date,symbol,price,ratio,to_buy,sma_10d,sma_50w,sma_100d,sma_200d,sma_50d,other_expenses,NetProfitMargin,ebitdaMargin,eps,costOfRevenue,netIncome,revenues,revenues_lag_days,pe_ratio,cost_revenue_ratio
2023-04-25,NRG,34.06,1.02,0,34.95,37.89,33.59,37.33,33.64,190000000,-0.173,-0.172,-5.8,8778000000,-1335000000,7722000000,25,-5.872413793103449,1.14
2023-04-25,WBA,34.89,0.86,0,35.42,37.23,36.45,36.6,34.94,25000000,0.02,0.022,0.81,27807000000,703000000,34862000000,56,43.07407407407407,0.8
2023-04-25,KR,47.97,0.99,0,47.61,46.97,46.11,46.49,46.9,706000000,0.013,0.048,0.62,27247000000,451000000,34823000000,87,77.37096774193549,0.78
2023-04-25,CNC,69.29,0.98,0,67.78,79.64,73.14,79.54,67.18,325000000,0.029,0.041,2.05,34315000000,1130000000,38889000000,25,33.800000000000004,0.88
2023-04-25,CVS,72.87,1.1,0,74.36,91.59,85.61,91.75,78.47,395000000,0.025,0.053,1.66,71903000000,2136000000,84944000000,25,43.897590361445786,0.85
2023-04-25,VLO,117.85,1.16,1,125.9,123.31,130.91,124.09,132.08,10000000,0.084,0.114,8.28,32142000000,3067000000,36439000000,25,14.233091787439614,0.88
2022-03-18,AAL,16.75,1.15,1,14.85,19.72,17.85,19.28,16.86,1211000000,-0.099,-0.077,-1.44,8663000000,-931000000,9427000000,77,-11.631944444444445,0.92
2022-03-18,CAH,57.29,0.35,0,53.86,53.66,51.13,52.54,52.91,13000000,0.001,0.012,0.17,43841000000,49000000,45457000000,77,336.99999999999994,0.96
2022-03-18,VLO,90.43,1.03,1,88.24,75.58,79.42,75.32,85.44,-163000000,0.028,0.04,2.47,34005000000,1009000000,35903000000,77,36.611336032388664,0.95
2022-04-21,GPS,14.29,1.16,0,13.95,22.54,15.91,20.8,14.5,1515000000,-0.004,0.031,-0.04,3002000000,-16000000,4525000000,82,-318.26280623608017,0.66
2022-04-21,WBA,46.81,1.2,0,45.21,49.05,48.5,48.35,46.51,-229000000,0.026,0.046,1.02,26047000000,883000000,33756000000,52,45.8921568627451,0.77
2022-04-21,KSS,58.61,1.15,0,59.62,54.13,55.32,54.06,58.67,207000000,0.046,0.101,2.23,4155000000,299000000,6499000000,82,26.282511210762333,0.64
2022-04-21,CAH,63.75,0.39,0,62.53,53.68,53.53,52.78,56.4,79000000,-0.031,0.014,-5.05,43154000000,-1390000000,44836000000,21,-12.623762376237623,0.96
2021-10-21,KR,39.3,0.92,1,39.3,37.04,40.92,38.18,42.35,15000000,0.015,0.052,0.62,24914000000,467000000,31682000000,68,63.387096774193544,0.79
2023-10-09,F,12.07,1.1,0,12.21,12.76,13.0,12.65,12.31,-67000000,0.027,0.132,0.3,37548000000,1199000000,43801000000,9,40.233333333333334,0.86
2023-10-09,AAL,12.24,0.59,1,12.67,14.85,15.38,15.09,14.29,2967000000,-0.04,-0.055,-0.83,10308000000,-545000000,13482000000,9,-14.74698795180723,0.76
2023-10-09,KSS,18.5,0.52,1,19.69,25.33,23.67,24.85,24.45,0,0.015,0.09,0.53,2242000000,58000000,3895000000,72,34.90566037735849,0.58
2023-10-09,WBA,22.27,0.54,1,21.88,32.52,27.7,31.47,24.81,1387000000,-0.005,0.044,-0.21,28947000000,-180000000,35422000000,39,-106.04761904761905,0.82
2023-10-09,LNC,23.12,0.93,1,23.69,27.26,25.04,26.01,25.56,1131000000,0.203,0.243,4.83,4312000000,853000000,4203000000,9,4.786749482401657,1.03
2023-10-09,UAL,39.78,0.9,0,41.58,47.02,50.0,47.98,47.71,12000000,0.079,0.139,3.47,10042000000,1138000000,14484000000,9,11.463976945244957,0.69
2023-10-09,KR,44.62,0.95,0,44.49,46.68,46.84,46.68,46.54,8000000,-0.005,0.011,-0.25,26475000000,-180000000,33853000000,58,-178.48,0.78
2023-10-09,AAP,51.36,1.12,1,53.68,109.71,70.77,103.01,63.78,-1216000,-0.018,0.01,-0.82,1732420000,-48633000,2719079000,2,-62.63414634146342,0.64
2023-10-09,CNC,70.86,1.0,0,69.45,70.71,66.55,68.58,66.47,3924000000,0.012,0.019,0.87,30335000000,469000000,38042000000,9,81.44827586206897,0.8
2024-03-27,AAL,15.3,0.77,0,14.53,14.36,13.9,14.36,14.64,-1519000000,0.001,0.094,0.03,10435000000,19000000,13062000000,87,527.5862068965517,0.8
2024-03-27,WBA,21.02,0.49,0,20.75,25.45,22.36,24.25,21.73,13067000000,-0.159,0.014,-6.85,30012000000,-5908000000,37052000000,27,-3.0686131386861315,0.81
2024-03-27,DXC,21.06,1.18,0,20.77,22.89,22.31,22.66,21.56,39000000,0.046,0.168,0.82,2636000000,156000000,3399000000,87,25.682926829268293,0.78
2024-03-27,KSS,28.44,0.53,0,26.17,24.38,26.14,24.96,26.77,0,0.031,0.082,1.69,4047000000,186000000,5956000000,53,16.828402366863905,0.68
2024-03-27,KR,56.9,1.1,0,56.39,47.17,47.24,46.8,49.71,-965000000,0.02,0.062,1.02,29372000000,736000000,37064000000,53,55.78431372549019,0.79
2024-03-27,CNC,78.35,1.06,0,77.22,70.71,75.64,71.51,77.06,4571000000,0.001,-0.005,0.08,31595000000,45000000,39460000000,87,930.5225653206651,0.8
2024-03-27,CVS,79.43,1.07,0,78.29,72.14,74.58,72.48,75.66,311000000,0.022,0.049,1.59,79937000000,2046000000,93545000000,87,49.9559748427673,0.85
2024-03-27,CAH,112.54,0.48,0,111.41,96.4,106.16,98.47,108.41,16000000,0.006,0.012,1.44,55599000000,353000000,57445000000,87,78.15277777777779,0.97
2021-10-28,WBA,47.1,1.19,1,48.36,48.8,48.92,50.45,48.65,588000000,0.018,0.051,0.41,26758000000,627000000,34262000000,58,114.87804878048782,0.78
2021-10-28,CAH,47.72,0.3,1,48.53,55.06,53.66,55.27,50.7,4000000,0.006,0.014,0.94,42326000000,271000000,43968000000,28,50.765957446808514,0.96
2021-10-28,PSX,76.75,1.12,1,81.39,76.98,76.61,78.86,73.21,238000000,0.013,0.075,0.91,27890000000,402000000,30243000000,28,84.34065934065934,0.92
2021-10-28,VLO,78.46,1.08,1,80.27,69.43,71.13,71.94,70.74,32000000,0.016,0.025,1.13,28613000000,463000000,29520000000,28,69.43362831858407,0.97
2021-10-28,MCK,205.02,0.47,1,205.34,190.88,199.05,193.53,203.07,139000000,0.004,0.015,1.73,63224000000,267000000,66576000000,28,118.50867052023122,0.95
2022-04-14,GPS,14.11,1.15,0,13.67,23.01,16.16,21.16,14.71,1515000000,-0.004,0.031,-0.04,3002000000,-16000000,4525000000,75,-314.25389755011133,0.66
2022-04-14,NRG,39.19,1.18,1,38.69,39.44,39.05,40.2,38.33,208000000,0.22,0.35,7.17,4930000000,1736000000,7896000000,14,5.465829846582984,0.62
2022-04-14,WBA,44.81,1.15,0,44.37,49.23,48.54,48.39,46.78,-229000000,0.026,0.046,1.02,26047000000,883000000,33756000000,45,43.931372549019606,0.77
2022-04-14,KSS,61.0,1.19,0,59.39,54.22,55.14,53.93,58.63,207000000,0.046,0.101,2.23,4155000000,299000000,6499000000,75,27.3542600896861,0.64
2022-04-14,CAH,62.96,0.38,0,60.05,53.61,52.93,52.66,55.54,79000000,-0.031,0.014,-5.05,43154000000,-1390000000,44836000000,14,-12.467326732673268,0.96
2022-04-14,PSX,82.85,1.11,1,84.2,79.26,80.6,77.64,84.06,1489000000,0.016,0.036,1.3,33833000000,582000000,36179000000,14,63.730769230769226,0.94
2022-04-14,VLO,104.86,1.1,1,102.38,77.96,83.8,77.14,91.96,19000000,0.023,0.035,2.22,36934000000,905000000,38542000000,14,47.23423423423423,0.96
2024-01-03,F,11.71,1.02,1,12.18,12.29,11.52,12.22,10.91,-1802000000,-0.011,0.005,-0.13,43432000000,-526000000,45962000000,3,-90.07692307692308,0.94
2024-01-03,AAL,12.95,0.65,1,13.92,14.5,13.12,14.23,12.71,-1519000000,0.001,0.094,0.03,10435000000,19000000,13062000000,3,446.551724137931,0.8
2024-01-03,WBA,25.57,0.6,0,26.19,28.68,22.99,27.45,22.51,8000000,-0.002,0.016,-0.08,29937000000,-67000000,36707000000,34,-329.5103092783505,0.82
2024-01-03,KSS,26.42,0.72,0,28.21,24.45,23.81,23.43,24.76,0,0.015,0.085,0.54,2349000000,59000000,4054000000,67,48.925925925925924,0.58
2024-01-03,GM,35.27,0.95,1,35.93,34.67,31.81,33.75,31.23,8442000000,0.049,0.105,1.59,39670000000,2101000000,42979000000,3,22.18238993710692,0.92
2024-01-03,UAL,39.53,0.95,1,41.6,46.09,42.17,45.49,39.28,1325000000,0.044,0.127,1.83,12010000000,599000000,13626000000,3,21.601092896174862,0.88
2024-01-03,KR,46.52,0.99,1,45.43,46.27,45.1,46.49,44.52,0,0.019,0.053,0.89,26477000000,646000000,33957000000,60,52.26966292134832,0.78
2024-01-03,CNC,76.74,1.04,0,74.22,68.61,70.05,68.32,72.75,4571000000,0.001,-0.005,0.08,31595000000,45000000,39460000000,3,911.4014251781473,0.8
2024-01-03,CVS,80.88,1.09,0,78.84,73.34,70.64,71.31,71.73,311000000,0.022,0.049,1.59,79937000000,2046000000,93545000000,3,50.867924528301884,0.85
2024-01-03,CAH,104.73,0.44,0,101.34,88.66,95.49,90.56,101.85,16000000,0.006,0.012,1.44,55599000000,353000000,57445000000,3,72.72916666666667,0.97
2022-08-29,GPS,9.48,0.9,1,10.29,15.01,10.67,13.8,9.42,0,-0.013,0.027,-0.13,2527000000,-49000000,3857000000,30,-72.92307692307692,0.66
2022-08-29,AAL,13.51,0.7,0,14.27,16.98,15.65,16.57,14.11,25000000,0.035,0.08,0.73,10517000000,476000000,13422000000,60,18.506849315068493,0.78
2022-08-29,KSS,28.09,0.81,1,30.49,47.72,40.79,47.94,31.31,0,0.035,0.122,1.13,2538000000,143000000,4087000000,30,24.85840707964602,0.62
2022-08-29,WBA,35.96,0.95,1,37.97,45.2,41.18,44.99,38.95,479000000,0.009,0.02,0.33,26025000000,289000000,32597000000,90,108.96969696969697,0.8
2022-08-29,UAL,36.02,0.97,1,37.73,43.22,41.35,42.57,37.57,1642000000,0.027,0.083,1.01,9087000000,329000000,12112000000,60,35.663366336633665,0.75
2022-08-29,DELL,40.59,1.12,0,46.34,51.14,46.19,51.0,45.51,0,0.019,0.065,0.69,20986000000,511000000,26425000000,31,58.82608695652175,0.79
2022-08-29,KR,48.3,1.0,0,49.21,47.98,50.84,49.3,47.66,0,0.021,0.057,1.01,28076000000,724000000,34638000000,16,47.821782178217816,0.81
2022-08-29,CAH,69.69,0.4,1,68.83,54.88,58.37,55.25,59.23,87000000,0.003,0.011,0.51,45498000000,138000000,47103000000,60,136.6470588235294,0.97
2022-08-29,MPC,105.0,0.95,1,102.05,80.17,92.96,82.37,90.71,1008000000,0.108,0.168,11.03,44207000000,5870000000,54238000000,60,9.519492293744333,0.82
2023-06-26,HBI,4.31,1.09,1,4.59,6.69,4.99,6.14,4.5,-14771000,-0.025,0.048,-0.1,939717000,-34404000,1389410000,86,-43.890020366598776,0.68
2023-06-26,GPS,8.82,0.99,1,9.27,10.75,10.19,10.9,8.8,1224000000,-0.005,0.039,-0.05,2062000000,-18000000,3276000000,58,-176.4,0.63
2023-06-26,KSS,21.87,0.67,1,22.65,26.82,24.12,26.29,21.26,188000000,-0.02,0.08,-0.64,2047000000,-70000000,3571000000,58,-34.171875,0.57
2023-06-26,LNC,24.34,1.08,1,24.16,34.09,24.64,32.05,21.82,-4901000000,-0.231,-0.285,-5.2,0,-881000000,3814000000,87,-4.680769230769231,0.0
2023-06-26,WBA,31.59,0.77,0,31.86,35.54,33.76,35.25,32.36,364000000,0.003,0.014,0.14,28826000000,118000000,35415000000,26,225.6428571428571,0.81
2023-06-26,NRG,35.91,1.07,1,34.44,36.61,33.66,36.11,33.69,190000000,-0.173,-0.172,-5.8,8778000000,-1335000000,7722000000,87,-6.191379310344828,1.14
2023-06-26,KR,46.65,0.74,0,46.29,46.63,47.03,46.48,47.66,957000000,0.021,0.058,1.33,35080000000,962000000,45165000000,37,35.07518796992481,0.78
2023-06-26,CNC,66.36,0.94,0,66.65,76.53,67.32,74.15,66.74,325000000,0.029,0.041,2.05,34315000000,1130000000,38889000000,87,32.37073170731708,0.88
2023-06-26,AAP,67.29,1.17,0,68.25,144.11,117.79,139.11,102.62,-674000,0.014,0.053,0.81,1946931000,48323000,3417594000,65,83.07407407407408,0.57
2023-06-26,CVS,69.85,1.06,0,69.39,87.13,75.56,85.58,70.53,395000000,0.025,0.053,1.66,71903000000,2136000000,84944000000,87,42.07831325301205,0.85
2023-06-26,CAH,92.29,0.46,0,90.23,76.19,80.06,77.38,84.6,74000000,0.007,0.014,1.35,48702000000,345000000,50487000000,87,68.36296296296297,0.96
2023-06-26,VLO,112.99,1.11,1,112.35,122.14,123.51,123.98,113.37,10000000,0.084,0.114,8.28,32142000000,3067000000,36439000000,87,13.646135265700483,0.88
2022-11-02,GPS,10.82,0.98,1,10.79,12.53,9.51,11.7,9.66,1323000000,0.07,0.082,0.77,2530000000,282000000,4039000000,4,14.051948051948052,0.63
2022-11-02,AAL,13.58,0.66,1,13.94,15.71,13.69,15.39,13.34,1399000000,0.036,0.086,0.69,10638000000,483000000,13462000000,33,19.681159420289855,0.79
2022-11-02,KSS,27.06,0.7,1,29.3,43.42,30.25,42.61,28.25,202000000,0.023,0.094,0.82,2541000000,97000000,4277000000,4,33.0,0.59
2022-11-02,DELL,37.67,1.09,1,37.67,47.86,41.54,46.34,37.34,0,0.01,0.092,0.34,19014000000,245000000,24721000000,5,110.79411764705883,0.77
2022-11-02,LRCX,39.55,1.06,1,38.72,50.76,42.61,47.47,39.5,-43095000,0.281,0.35,1.04,2737286000,1425879000,5074121000,38,37.95585412667946,0.54
2022-11-02,NRG,43.37,1.17,0,43.3,40.15,40.14,40.09,41.95,197000000,0.008,0.043,0.29,7802000000,67000000,8510000000,33,149.55172413793105,0.92
2022-11-02,KR,46.56,0.96,0,45.35,48.93,47.0,49.63,46.22,0,0.021,0.057,1.01,28076000000,724000000,34638000000,81,46.0990099009901,0.81
2022-11-02,CAH,75.05,0.39,0,74.5,58.68,63.81,59.83,69.82,71000000,0.002,0.01,0.41,47989000000,110000000,49603000000,33,183.0487804878049,0.97
2022-11-02,PSX,103.24,1.08,0,102.37,86.51,88.79,88.62,90.54,1745000000,0.12,0.173,11.2,39076000000,5391000000,44955000000,33,9.217857142857143,0.87
2022-11-02,MPC,114.73,1.17,1,113.15,87.32,96.83,91.17,103.43,226000000,0.098,0.142,9.12,39615000000,4475000000,45787000000,33,12.580043859649125,0.87
2022-11-02,VLO,125.83,1.08,1,127.06,102.72,113.28,108.2,115.46,6000000,0.063,0.087,7.22,40442000000,2817000000,44454000000,33,17.42797783933518,0.91
2021-04-08,CAH,59.25,0.44,0,60.93,52.89,55.22,52.93,55.74,12000000,0.003,0.02,0.41,37463000000,119000000,39275000000,8,144.51219512195124,0.95
2021-04-08,CNC,61.54,1.2,1,63.87,62.92,62.15,62.54,61.19,195000000,0.023,0.047,1.2,26367000000,699000000,29983000000,8,51.28333333333333,0.88
2021-08-11,KR,43.0,0.78,0,41.86,35.39,38.26,35.57,39.49,18000000,0.003,0.045,0.18,31947000000,140000000,41298000000,81,238.88888888888889,0.77
2021-08-11,CAH,51.69,0.35,0,55.25,54.73,58.15,56.03,57.14,16000000,0.003,0.01,0.4,41111000000,116000000,42586000000,42,129.225,0.97
2021-08-11,VLO,66.84,0.98,1,66.61,63.56,74.22,67.12,73.38,102000000,0.006,0.043,0.39,27051000000,162000000,27748000000,42,171.3846153846154,0.97
2021-08-11,MCK,197.31,0.49,1,201.32,180.35,194.06,185.38,194.4,43000000,0.008,0.017,3.11,59642000000,486000000,62674000000,42,63.44372990353698,0.95
2024-05-08,AAL,14.42,0.75,0,14.01,14.34,14.31,13.86,14.29,-1536000000,-0.025,0.044,-0.48,10549000000,-312000000,12570000000,38,-30.041666666666668,0.84
2024-05-08,WBA,17.23,0.4,0,17.56,23.7,21.46,22.49,19.34,13067000000,-0.159,0.014,-6.85,30012000000,-5908000000,37052000000,69,-2.5153284671532847,0.81
2024-05-08,DXC,19.9,1.12,0,19.66,22.42,21.58,21.67,20.57,-179000000,-0.059,0.149,-1.1,2937000000,-200000000,3386000000,38,-18.090909090909086,0.87
2024-05-08,KSS,23.94,0.79,0,24.2,24.76,26.33,25.06,25.46,0,-0.008,0.068,-0.24,2111000000,-27000000,3382000000,4,-99.75000000000001,0.62
2024-05-08,CVS,54.91,0.79,1,60.36,71.53,73.99,72.1,71.45,35000000,0.013,0.034,0.88,75876000000,1113000000,87983000000,38,62.397727272727266,0.86
2024-05-08,KR,55.38,1.07,0,55.29,48.04,50.65,48.12,55.22,-965000000,0.02,0.062,1.02,29372000000,736000000,37064000000,95,54.294117647058826,0.79
2024-05-08,CNC,75.85,1.0,0,74.48,71.64,75.9,72.52,75.5,-8286000000,0.029,0.035,2.17,35762000000,1163000000,40407000000,38,34.953917050691246,0.89
